year,r_min,r_mean,r_median,r_max,r_std,r_count,r_coverage_pct,p_min_mm,p_mean_mm,p_median_mm,p_max_mm,p_std_mm,p_count,p_coverage_pct,formula,a,b,unit_P,unit_R
2016,250.65480041503906,460.1183776855469,430.1640625,928.204345703125,157.90110778808594,763088,99.84442813273198,585.5818481445312,1074.9322509765625,1004.952880859375,2168.478759765625,368.8899230957031,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2017,276.01422119140625,536.3510131835938,489.0741882324219,1106.2884521484375,182.68548583984375,763088,99.84442813273198,644.8267211914062,1253.0274658203125,1142.5792236328125,2584.5205078125,426.7913513183594,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2018,163.24411010742188,338.21429443359375,324.30987548828125,681.2920532226562,136.5989227294922,763088,99.84442813273198,381.37225341796875,790.13916015625,757.6554565429688,1591.6402587890625,319.12347412109375,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2019,324.2421569824219,601.1293334960938,547.4323120117188,1304.3770751953125,226.151123046875,763088,99.84442813273198,757.4972534179688,1404.3638916015625,1278.916015625,3047.296630859375,528.3361206054688,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2020,362.1806640625,645.2828369140625,619.442138671875,1253.1300048828125,206.8592071533203,763088,99.84442813273198,846.1295166015625,1507.51513671875,1447.1458740234375,2927.57275390625,483.2662353515625,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2021,287.1689147949219,468.24951171875,428.235595703125,858.7469482421875,136.00677490234375,763088,99.84442813273198,670.8864135742188,1093.9285888671875,1000.4476318359375,2006.2117919921875,317.7402038574219,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2022,329.8623046875,587.54638671875,560.4545288085938,1181.962890625,194.92034912109375,763088,99.84442813273198,770.6270751953125,1372.630615234375,1309.338623046875,2761.311767578125,455.37451171875,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2023,223.33245849609375,427.6852722167969,389.2829895019531,876.18359375,157.7880401611328,763088,99.84442813273198,521.7511596679688,999.1621704101562,909.4461669921875,2046.947509765625,368.6257629394531,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2024,295.80609130859375,547.1555786132812,515.8475952148438,1097.420654296875,193.25979614257812,763088,99.84442813273198,691.064697265625,1278.26953125,1205.1275634765625,2563.803466796875,451.4951477050781,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
2025,345.5220031738281,587.1351928710938,540.8204956054688,1088.3179931640625,175.96786499023438,763088,99.84442813273198,807.21142578125,1371.67041015625,1263.4693603515625,2542.53759765625,411.0975646972656,763088,99.84442813273198,PowerLaw_R=a*P^b (calibrated to 79+0.363P at basin mean),0.428044,1.0,mm,MJ·mm·ha⁻¹·h⁻¹·yr⁻¹ (relative-scaled)
