year,min,mean,median,max,std,valid_count,total_pixels,coverage_pct,note
2016,585.5818481445312,1074.9322509765625,1004.952880859375,2168.478759765625,368.8899230957031,763088,1136655,67.1345307063269,
2017,644.8267211914062,1253.0274658203125,1142.5792236328125,2584.5205078125,426.7913513183594,763088,1136655,67.1345307063269,
2018,381.37225341796875,790.13916015625,757.6554565429688,1591.6402587890625,319.12347412109375,763088,1136655,67.1345307063269,
2019,757.4972534179688,1404.3638916015625,1278.916015625,3047.296630859375,528.3361206054688,763088,1136655,67.1345307063269,
2020,846.1295166015625,1507.51513671875,1447.1458740234375,2927.57275390625,483.2662353515625,763088,1136655,67.1345307063269,
2021,670.8864135742188,1093.9285888671875,1000.4476318359375,2006.2117919921875,317.7402038574219,763088,1136655,67.1345307063269,
2022,770.6270751953125,1372.630615234375,1309.338623046875,2761.311767578125,455.37451171875,763088,1136655,67.1345307063269,
2023,521.7511596679688,999.1621704101562,909.4461669921875,2046.947509765625,368.6257629394531,763088,1136655,67.1345307063269,
2024,691.064697265625,1278.26953125,1205.1275634765625,2563.803466796875,451.4951477050781,763088,1136655,67.1345307063269,
2025,807.21142578125,1371.67041015625,1263.4693603515625,2542.53759765625,411.0975646972656,763088,1136655,67.1345307063269,2025 is Jan–Nov only
